Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
180,JC Ortega,Una aproximación al concepto de identidad cultural a partir de experiencias: el patrimonio y la educación,2018,Tabanque. Revista Pedagógica,revistas.uva.es,http://revistas.uva.es/index.php/tabanque/article/view/2092,"https://scholar.google.com/scholar?cites=2461395304860898050&as_sdt=2005&sciodt=0,5&hl=en",11,09/05/22 09:46,,,,,,,,,180,45.00,180,1,4,"… Y ese no es otro que el de la identidad cultural, un concepto poco tratado en nuestro país y … Principalmente a que la identidad cultural se refiere a las características más relevantes y …",https://revistas.uva.es/index.php/tabanque/article/download/2092/1732,"https://scholar.google.com/scholar?q=related:AlMMHv2hKCIJ:scholar.google.com/&scioq=%22identidad+cultural%22&hl=en&as_sdt=0,5&as_vis=1"
57,OA Marulanda,El folclor de Colombia. Practica de la identidad cultural,2019,,biblioteca.udea.edu.co,http://biblioteca.udea.edu.co:8080/leo/handle/123456789/5628,"https://scholar.google.com/scholar?cites=14181799203209092691&as_sdt=2005&sciodt=0,5&hl=en",12,09/05/22 09:46,,,,,,,,,57,19.00,57,1,3,"… de país, y por otro, relacionar de manera conceptual los elementos constitutivos del patrimonio autóctono con el pensamiento y las razones históricas que ilustran la identidad cultural. …",,"https://scholar.google.com/scholar?q=related:Ux4ypzzfz8QJ:scholar.google.com/&scioq=%22identidad+cultural%22&hl=en&as_sdt=0,5&as_vis=1"
33,"IF Peña, IF Peña",Aproximación Teórica a la identidad cultural,2012,Ciencias Holguín,redalyc.org,https://www.redalyc.org/pdf/1815/181524363004.pdf,"https://scholar.google.com/scholar?cites=5833632421360306844&as_sdt=2005&sciodt=0,5&hl=en",13,09/05/22 09:46,PDF,,,,,,,,33,3.30,17,2,10,"… connotación de identidad cultural cuando se manifiesta a través de un grupo social, cuando … Cuando se hace referencia a aquellos hombres que son portadores de la identidad cultural …",https://www.redalyc.org/pdf/1815/181524363004.pdf,"https://scholar.google.com/scholar?q=related:nApigcc59VAJ:scholar.google.com/&scioq=%22identidad+cultural%22&hl=en&as_sdt=0,5&as_vis=1"
212,M Espinosa Apolo,Los mestizos ecuatorianos y las señas de identidad cultural,2008,,repositoriointerculturalidad.ec,https://www.repositoriointerculturalidad.ec/jspui/handle/123456789/33414,"https://scholar.google.com/scholar?cites=16798993688559419989&as_sdt=2005&sciodt=0,5&hl=en",14,09/05/22 09:46,,,,,,,,,212,15.14,212,1,14,"Estudio documentado que investiga la identidad mestiza, a la que el autor define como un proceso de aculturación hispana enriquecido con un núcleo cultural quichua que determina …",,"https://scholar.google.com/scholar?q=related:VQKdPsEDIukJ:scholar.google.com/&scioq=%22identidad+cultural%22&hl=en&as_sdt=0,5&as_vis=1"
41,"E Garza Leal, HA Llanes Alberdi",Modelo pedagógico para desarrollar la identidad cultural,2015,Humanidades Médicas,scielo.sld.cu,http://scielo.sld.cu/scielo.php?pid=S1727-81202015000300011&script=sci_arttext&tlng=en,"https://scholar.google.com/scholar?cites=11640854621193429294&as_sdt=2005&sciodt=0,5&hl=en",15,09/05/22 09:46,HTML,,,,,,,,41,5.86,21,2,7,"… medir el desarrollo de la identidad cultural, desde el proceso … para medir la identidad cultural como resultado del proceso … identidad, cultura e identidad cultural. Luego presenta los …",http://scielo.sld.cu/scielo.php?pid=S1727-81202015000300011&script=sci_arttext&tlng=en,"https://scholar.google.com/scholar?q=related:LuEyIpqfjKEJ:scholar.google.com/&scioq=%22identidad+cultural%22&hl=en&as_sdt=0,5&as_vis=1"
275,C Gros,Colombia indígena: identidad cultural y cambio social,1991,,revistas.unal.edu.co,https://revistas.unal.edu.co/index.php/anpol/article/download/75611/68207/402406,"https://scholar.google.com/scholar?cites=12751294493298257315&as_sdt=2005&sciodt=0,5&hl=en",16,09/05/22 09:46,BOOK,,,,,,,,275,8.87,275,1,31,"La imagen de tres delegados indíge nas participando, con plenos dere chos, en las deliberaciones de la pasa da Asamblea Nacional Constituyente continúa proyectándose, aún tres …",https://revistas.unal.edu.co/index.php/anpol/article/download/75611/68207/402406,"https://scholar.google.com/scholar?q=related:o-1vS8iy9bAJ:scholar.google.com/&scioq=%22identidad+cultural%22&hl=en&as_sdt=0,5&as_vis=1"
36,H Campos-Winter,Estudio de la identidad cultural mediante una construcción epistémica del concepto identidad cultural regional,2018,Cinta de moebio,scielo.conicyt.cl,https://scielo.conicyt.cl/scielo.php?pid=S0717-554X2018000200199&script=sci_arttext,"https://scholar.google.com/scholar?cites=4331430275964755057&as_sdt=2005&sciodt=0,5&hl=en",17,09/05/22 09:46,HTML,,,,,,,,36,9.00,36,1,4,… símbolos que componen la identidad cultural de los individuos… identidad cultural regional es el objetivo de este artículo. Se indaga el aspecto mental o discursivo de la identidad cultural…,https://scielo.conicyt.cl/scielo.php?pid=S0717-554X2018000200199&script=sci_arttext,"https://scholar.google.com/scholar?q=related:cVxAGONUHDwJ:scholar.google.com/&scioq=%22identidad+cultural%22&hl=en&as_sdt=0,5&as_vis=1"
234,L Olivé,Interculturalismo y justicia social: Autonomía e identidad cultural en la era de la globalización,2004,,JSTOR,https://www.jstor.org/stable/pdf/j.ctv1xxvts.5.pdf,"https://scholar.google.com/scholar?cites=18381986476063858822&as_sdt=2005&sciodt=0,5&hl=en",18,09/05/22 09:46,BOOK,,,,,,,,234,13.00,234,1,18,"… En el contexto de “la globalización"", de “la sociedad del conocimiento"" y de la “sociedad red"", la reafirmación y la reivindicación de la identidad cultural ha pasado a ocupar un lugar …",http://www.librosoa.unam.mx/bitstream/handle/123456789/322/V45.pdf?sequence=2&isAllowed=y,"https://scholar.google.com/scholar?q=related:hiDS207vGf8J:scholar.google.com/&scioq=%22identidad+cultural%22&hl=en&as_sdt=0,5&as_vis=1"
99,C Nunes dos Santos,Somos lo que comemos: identidad cultural y hábitos alimenticios,2007,Estudios y perspectivas en turismo,SciELO Argentina,http://www.scielo.org.ar/pdf/eypt/v16n2/v16n2a06.pdf,"https://scholar.google.com/scholar?cites=8776374333047364722&as_sdt=2005&sciodt=0,5&hl=en",19,09/05/22 09:46,PDF,,,,,,,,99,6.60,99,1,15,"Los hábitos alimentarios están relacionados con la identidad cultural y son influenciados por la formación cultural y social. Las tradiciones religiosas, la clase social, el ingreso, las …",http://www.scielo.org.ar/pdf/eypt/v16n2/v16n2a06.pdf,"https://scholar.google.com/scholar?q=related:ctwk6fTxy3kJ:scholar.google.com/&scioq=%22identidad+cultural%22&hl=en&as_sdt=0,5&as_vis=1"
8,R Marcial,Identidad cultural,1996,Antología de lecturas,biblioteca.cij.gob.mx,http://www.biblioteca.cij.gob.mx/Archivos/materiales_de_consulta/Drogas_de_Abuso/Articulos/Libros_Adolecencia.pdf#page=105,"https://scholar.google.com/scholar?cites=9439883369552030935&as_sdt=2005&sciodt=0,5&hl=en",20,09/05/22 09:46,PDF,,,,,,,,8,0.31,8,1,26,"La identidad es una actitud y percepción que terminan siendo un sentimiento, a veces una creencia. Representa una abstracción que no es más que el resultado de las relaciones …",http://www.biblioteca.cij.gob.mx/Archivos/materiales_de_consulta/Drogas_de_Abuso/Articulos/Libros_Adolecencia.pdf#page=105,"https://scholar.google.com/scholar?q=related:1yxE8-gzAYMJ:scholar.google.com/&scioq=%22identidad+cultural%22&hl=en&as_sdt=0,5&as_vis=1"
